"","X.2","Gm.","Year","DATE","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled","STATION","NAME","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"58",58,58,2017,"2017-06-07","boxscore","BOS","@","NYY","L",0,8,NA,"32-26",2,"2","Sabathia","Porcello","","2:42","N",44380,"-",NA,"USW00014739","BOSTON, MA US",0.04,0,NA,54,62,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,59,2017,"2017-06-08","boxscore","BOS","@","NYY","L",1,9,NA,"32-27",2,"3","Pineda","Price","","3:27","N",46194,"--",NA,"USW00014739","BOSTON, MA US",0,0,NA,61,71,51,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,60,2017,"2017-06-09","boxscore","BOS","","DET","W",5,3,NA,"33-27",2,"3","Barnes","Wilson","Kimbrel","3:36","N",36853,"+",NA,"USW00014739","BOSTON, MA US",0,0,NA,63,79,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,61,2017,"2017-06-10","boxscore","BOS","","DET","W",11,3,NA,"34-27",2,"3","Sale","Saupold","","3:39","N",37162,"++",NA,"USW00014739","BOSTON, MA US",0,0,NA,73,85,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,62,2017,"2017-06-11","boxscore","BOS","","DET","L",3,8,NA,"34-28",2,"4","Norris","Pomeranz","","4:06","N",35457,"-",NA,"USW00014739","BOSTON, MA US",0,0,NA,79,92,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,63,2017,"2017-06-12","boxscore","BOS","","PHI","W-wo",6,5,11,"35-28",2,"4","Barnes","Fien","","4:16","N",36757,"+",NA,"USW00014739","BOSTON, MA US",0,0,NA,84,95,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,64,2017,"2017-06-13","boxscore","BOS","","PHI","W-wo",4,3,12,"36-28",2,"3","Abad","Garcia","","4:24","N",37141,"++",NA,"USW00014739","BOSTON, MA US",0.53,0,NA,85,95,72,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,65,2017,"2017-06-14","boxscore","BOS","@","PHI","W",7,3,NA,"37-28",2,"2","Velazquez","Hellickson","","3:26","N",28263,"+++",NA,"USW00014739","BOSTON, MA US",0,0,NA,71,73,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",66,66,2017,"2017-06-15","boxscore","BOS","@","PHI","L",0,1,NA,"37-29",2,"2","Neshek","Sale","Neris","2:25","N",30729,"-",NA,"USW00014739","BOSTON, MA US",0,0,NA,64,75,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,67,2017,"2017-06-16","boxscore","BOS","@","HOU","W",2,1,NA,"38-29",2,"1","Kelly","Harris","Kimbrel","3:11","N",36189,"+",NA,"USW00014739","BOSTON, MA US",2.13,0,NA,64,71,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
