"","Gm.","Year","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"705",57,2013,2013-06-01,"boxscore","BOS","@","NYY","W",11,1,NA,"34-23",1,"up 2.0","Doubront","Hughes","","3:25","N","48784","+",""
"706",58,2013,2013-06-02,"boxscore","BOS","@","NYY","W",3,0,6,"35-23",1,"up 2.5","Buchholz","Kuroda","","1:58","N","43613","++",""
"707",59,2013,2013-06-04,"boxscore","BOS","","TEX","W",17,5,NA,"36-23",1,"up 2.5","Dempster","Grimm","","3:10","N","32035","+++",""
"708",60,2013,2013-06-05,"boxscore","BOS","","TEX","L",2,3,NA,"36-24",1,"up 1.5","Cotts","Breslow","Nathan","3:17","N","33296","-",""
"709",61,2013,2013-06-06,"boxscore","BOS","","TEX","W-wo",6,3,NA,"37-24",1,"up 1.5","Bailey","Kirkman","","3:21","N","35352","+",""
"710",62,2013,2013-06-08,"boxscore","BOS","","LAA","L",5,9,NA,"37-25",1,"up 1.5","Hanson","Doubront","Frieri","4:00","D","34499","-",""
"711",63,2013,2013-06-08,"boxscore","BOS","","LAA","W",7,2,NA,"38-25",1,"up 1.5","Buchholz","Wilson","","3:25","N","36518","+","2013-06-07 (Rain)"
"712",64,2013,2013-06-09,"boxscore","BOS","","LAA","W",10,5,NA,"39-25",1,"up 1.5","Dempster","Blanton","","3:33","D","37054","++",""
"713",65,2013,2013-06-10,"boxscore","BOS","@","TBR","W",10,8,14,"40-25",1,"up 2.0","Morales","Ramos","","5:24","N","15477","+++",""
"714",66,2013,2013-06-11,"boxscore","BOS","@","TBR","L",3,8,NA,"40-26",1,"up 2.0","Hernandez","Lester","","3:06","N","16870","-",""
"715",67,2013,2013-06-12,"boxscore","BOS","@","TBR","W",2,1,NA,"41-26",1,"up 3.0","Aceves","Archer","Bailey","3:22","N","15091","+",""
"716",68,2013,2013-06-13,"boxscore","BOS","@","BAL","L-wo",4,5,13,"41-27",1,"up 2.5","McFarland","Wilson","","4:35","N","20098","-",""
"717",69,2013,2013-06-14,"boxscore","BOS","@","BAL","L",0,2,NA,"41-28",1,"up 1.5","Tillman","Dempster","Johnson","2:43","N","39158","--",""
"718",70,2013,2013-06-15,"boxscore","BOS","@","BAL","W",5,4,NA,"42-28",1,"up 2.5","Lackey","Garcia","Bailey","2:48","D","42422","+",""
"719",71,2013,2013-06-16,"boxscore","BOS","@","BAL","L",3,6,NA,"42-29",1,"up 1.5","Gonzalez","Lester","Johnson","3:06","D","41311","-",""
"720",72,2013,2013-06-18,"boxscore","BOS","","TBR","W",5,1,NA,"43-29",1,"up 2.5","Aceves","Archer","","3:10","D","33430","+",""
"721",73,2013,2013-06-18,"boxscore","BOS","","TBR","W-wo",3,1,NA,"44-29",1,"up 2.5","Bailey","Peralta","","2:27","N","32156","++","2013-04-12 (Rain)"
"722",74,2013,2013-06-19,"boxscore","BOS","","TBR","L",2,6,NA,"44-30",1,"up 1.5","Hellickson","Dempster","","3:21","N","35710","-",""
"723",75,2013,2013-06-20,"boxscore","BOS","@","DET","L-wo",3,4,NA,"44-31",1,"up 1.0","Smyly","Bailey","","2:53","N","36939","--",""
"724",76,2013,2013-06-21,"boxscore","BOS","@","DET","W",10,6,NA,"45-31",1,"up 2.0","Lester","Fister","","3:16","N","41126","+",""
"725",77,2013,2013-06-22,"boxscore","BOS","@","DET","L",3,10,NA,"45-32",1,"up 2.0","Scherzer","Webster","","3:05","N","42508","-",""
"726",78,2013,2013-06-23,"boxscore","BOS","@","DET","L",5,7,NA,"45-33",1,"up 2.0","Benoit","Miller","","3:47","D","41507","--",""
"727",79,2013,2013-06-25,"boxscore","BOS","","COL","W",11,4,NA,"46-33",1,"up 2.5","Dempster","Nicasio","","3:40","N","36286","+",""
"728",80,2013,2013-06-26,"boxscore","BOS","","COL","W",5,3,NA,"47-33",1,"up 3.5","Lackey","Oswalt","Uehara","2:36","D","34632","++",""
"729",81,2013,2013-06-27,"boxscore","BOS","","TOR","W",7,4,NA,"48-33",1,"up 3.5","Lester","Wang","Uehara","2:34","N","34750","+++",""
"730",82,2013,2013-06-28,"boxscore","BOS","","TOR","W",7,5,NA,"49-33",1,"up 3.5","Miller","Wagner","Uehara","3:22","N","36383","++++",""
"731",83,2013,2013-06-29,"boxscore","BOS","","TOR","L",2,6,NA,"49-34",1,"up 2.5","Delabar","Tazawa","","3:05","D","37437","-",""
"732",84,2013,2013-06-30,"boxscore","BOS","","TOR","W-wo",5,4,NA,"50-34",1,"up 2.5","Uehara","Perez","","3:10","D","37425","+",""
"733",85,2013,2013-07-02,"boxscore","BOS","","SDP","W",4,1,NA,"51-34",1,"up 3.5","Lackey","Erlin","Uehara","2:48","N","36498","++",""
"734",86,2013,2013-07-03,"boxscore","BOS","","SDP","W-wo",2,1,NA,"52-34",1,"up 3.5","Uehara","Gregerson","","3:05","N","36911","+++",""
"735",87,2013,2013-07-04,"boxscore","BOS","","SDP","W",8,2,NA,"53-34",1,"up 4.5","Webster","Stults","","3:21","D","37607","++++",""
"736",88,2013,2013-07-05,"boxscore","BOS","@","LAA","W",6,2,NA,"54-34",1,"up 5.5","Doubront","Wilson","","3:14","N","37092","+++++",""
"737",89,2013,2013-07-06,"boxscore","BOS","@","LAA","L-wo",7,9,11,"54-35",1,"up 5.0","De La Rosa","Breslow","","4:22","N","36112","-",""
"738",90,2013,2013-07-07,"boxscore","BOS","@","LAA","L",0,3,NA,"54-36",1,"up 4.5","Weaver","Lackey","Frieri","2:57","N","39018","--",""
"739",91,2013,2013-07-08,"boxscore","BOS","@","SEA","L",4,11,NA,"54-37",1,"up 3.5","Hernandez","Lester","","3:21","N","21830","---",""
"740",92,2013,2013-07-09,"boxscore","BOS","@","SEA","W",11,8,NA,"55-37",1,"up 3.5","Breslow","Beavan","Uehara","3:44","N","21076","+",""
"741",93,2013,2013-07-10,"boxscore","BOS","@","SEA","W",11,4,NA,"56-37",1,"up 3.5","Doubront","Harang","","3:23","N","20468","++",""
"742",94,2013,2013-07-11,"boxscore","BOS","@","SEA","W",8,7,10,"57-37",1,"up 3.5","Wright","Wilhelmsen","Uehara","4:04","D","25367","+++",""
"743",95,2013,2013-07-12,"boxscore","BOS","@","OAK","W",4,2,NA,"58-37",1,"up 4.5","Lackey","Doolittle","Uehara","3:06","N","27084","++++",""
"744",96,2013,2013-07-13,"boxscore","BOS","@","OAK","L",0,3,NA,"58-38",1,"up 3.5","Griffin","Lester","Balfour","2:49","N","36067","-",""
"745",97,2013,2013-07-14,"boxscore","BOS","@","OAK","L-wo",2,3,11,"58-39",1,"up 2.5","Cook","Thornton","","3:34","D","31417","--",""
"746",98,2013,2013-07-19,"boxscore","BOS","","NYY","W",4,2,NA,"59-39",1,"up 2.5","Doubront","Pettitte","Uehara","2:55","N","38130","+",""
"747",99,2013,2013-07-20,"boxscore","BOS","","NYY","L",2,5,NA,"59-40",1,"up 1.5","Kuroda","Lackey","Rivera","3:12","D","37601","-",""
"748",100,2013,2013-07-21,"boxscore","BOS","","NYY","W-wo",8,7,11,"60-40",1,"up 1.5","Beato","Warren","","4:46","N","38138","+",""
"749",101,2013,2013-07-22,"boxscore","BOS","","TBR","L",0,3,NA,"60-41",1,"up 0.5","Moore","Workman","","2:52","N","35016","-",""
"750",102,2013,2013-07-23,"boxscore","BOS","","TBR","W",6,2,NA,"61-41",1,"up 1.5","Lester","Hernandez","","3:06","N","34609","+",""
"751",103,2013,2013-07-24,"boxscore","BOS","","TBR","L",1,5,NA,"61-42",1,"up 0.5","Price","Doubront","","3:00","N","36514","-",""
"752",104,2013,2013-07-26,"boxscore","BOS","@","BAL","L",0,6,NA,"61-43",2,"0.5","Tillman","Lackey","","2:35","N","39063","--",""
"753",105,2013,2013-07-27,"boxscore","BOS","@","BAL","W",7,3,NA,"62-43",2,"0.5","Dempster","Feldman","","3:21","N","44765","+",""
"754",106,2013,2013-07-28,"boxscore","BOS","@","BAL","W",5,0,NA,"63-43",1,"up 0.5","Lester","Hammel","","2:58","D","32891","++",""
"755",107,2013,2013-07-29,"boxscore","BOS","","TBR","L",1,2,NA,"63-44",2,"0.5","Price","Doubront","Rodney","3:21","N","37242","-","2013-07-25 (Rain)"
"756",108,2013,2013-07-30,"boxscore","BOS","","SEA","W",8,2,NA,"64-44",2,"0.5","Workman","Saunders","","2:44","N","34578","+",""
"757",109,2013,2013-07-31,"boxscore","BOS","","SEA","W-wo",5,4,15,"65-44",1,"up 0.5","Britton","Luetge","","5:03","N","35059","++",""
"758",110,2013,2013-08-01,"boxscore","BOS","","SEA","W-wo",8,7,NA,"66-44",1,"up 1.0","Wright","Perez","","3:17","N","35886","+++",""
"759",111,2013,2013-08-02,"boxscore","BOS","","ARI","L",6,7,NA,"66-45",1,"up 1.0","Delgado","Beato","Ziegler","3:32","N","37652","-",""
"760",112,2013,2013-08-03,"boxscore","BOS","","ARI","W",5,2,NA,"67-45",1,"up 1.0","Peavy","Corbin","Uehara","3:02","N","37941","+",""
"761",113,2013,2013-08-04,"boxscore","BOS","","ARI","W",4,0,NA,"68-45",1,"up 1.0","Doubront","McCarthy","","3:16","D","37611","++",""
"762",114,2013,2013-08-05,"boxscore","BOS","@","HOU","L",0,2,NA,"68-46",1,"up 0.5","Oberholtzer","Lackey","Fields","3:11","N","24543","-",""
"763",115,2013,2013-08-06,"boxscore","BOS","@","HOU","W",15,10,NA,"69-46",1,"up 1.5","Workman","Lyles","","3:54","N","21620","+",""
"764",116,2013,2013-08-07,"boxscore","BOS","@","HOU","W",7,5,NA,"70-46",1,"up 2.5","Tazawa","Fields","Uehara","3:53","N","22205","++",""
"765",117,2013,2013-08-08,"boxscore","BOS","@","KCR","L",1,5,NA,"70-47",1,"up 2.0","Chen","Lester","Hochevar","2:38","N","21121","-",""
"766",118,2013,2013-08-09,"boxscore","BOS","@","KCR","L",6,9,NA,"70-48",1,"up 2.0","Bueno","Britton","Holland","3:25","N","29485","--",""
"767",119,2013,2013-08-10,"boxscore","BOS","@","KCR","W",5,3,NA,"71-48",1,"up 3.0","Workman","Guthrie","Uehara","3:28","N","38742","+",""
"768",120,2013,2013-08-11,"boxscore","BOS","@","KCR","L",3,4,NA,"71-49",1,"up 3.0","Shields","Lackey","Holland","2:56","D","24935","-",""
"769",121,2013,2013-08-13,"boxscore","BOS","@","TOR","W",4,2,11,"72-49",1,"up 4.0","Uehara","Loup","","3:37","N","32816","+",""
"770",122,2013,2013-08-14,"boxscore","BOS","@","TOR","L-wo",3,4,10,"72-50",1,"up 3.0","Lincoln","Workman","","3:20","N","31695","-",""
"771",123,2013,2013-08-15,"boxscore","BOS","@","TOR","L",1,2,NA,"72-51",1,"up 2.0","Buehrle","Peavy","Janssen","2:43","N","40477","--",""
"772",124,2013,2013-08-16,"boxscore","BOS","","NYY","L",3,10,NA,"72-52",1,"up 1.0","Pettitte","Doubront","","3:31","N","38143","---",""
"773",125,2013,2013-08-17,"boxscore","BOS","","NYY","W",6,1,NA,"73-52",1,"up 2.0","Lackey","Kuroda","","3:26","D","37517","+",""
"774",126,2013,2013-08-18,"boxscore","BOS","","NYY","L",6,9,NA,"73-53",1,"up 1.0","Sabathia","Dempster","Rivera","4:12","N","37917","-",""
"775",127,2013,2013-08-19,"boxscore","BOS","@","SFG","W",7,0,NA,"74-53",1,"up 1.0","Lester","Lincecum","","2:59","N","41585","+",""
"776",128,2013,2013-08-20,"boxscore","BOS","@","SFG","L-wo",2,3,NA,"74-54",1,"Tied","Romo","Morales","","2:59","N","41551","-",""
"777",129,2013,2013-08-21,"boxscore","BOS","@","SFG","W",12,1,NA,"75-54",1,"up 1.0","Doubront","Zito","","2:46","D","41532","+",""
"778",130,2013,2013-08-23,"boxscore","BOS","@","LAD","L",0,2,NA,"75-55",1,"Tied","Nolasco","Lackey","Jansen","2:07","N","50240","-",""
"779",131,2013,2013-08-24,"boxscore","BOS","@","LAD","W",4,2,NA,"76-55",1,"Tied","Lester","Ryu","Uehara","3:14","D","48165","+",""
"780",132,2013,2013-08-25,"boxscore","BOS","@","LAD","W",8,1,NA,"77-55",1,"up 1.0","Peavy","Capuano","","3:00","N","44109","++",""
"781",133,2013,2013-08-27,"boxscore","BOS","","BAL","W",13,2,NA,"78-55",1,"up 2.5","Doubront","Chen","","2:59","N","36226","+++",""
"782",134,2013,2013-08-28,"boxscore","BOS","","BAL","W",4,3,NA,"79-55",1,"up 2.5","Breslow","Hunter","Uehara","3:00","N","31962","++++",""
"783",135,2013,2013-08-29,"boxscore","BOS","","BAL","L",2,3,NA,"79-56",1,"up 2.5","Tillman","Lester","Johnson","3:20","N","33300","-",""
"784",136,2013,2013-08-30,"boxscore","BOS","","CHW","W",4,3,NA,"80-56",1,"up 3.5","Dempster","Santiago","Uehara","3:09","N","36063","+",""
"785",137,2013,2013-08-31,"boxscore","BOS","","CHW","W",7,2,NA,"81-56",1,"up 4.5","Peavy","Danks","","3:11","N","37363","++",""
"786",138,2013,2013-09-01,"boxscore","BOS","","CHW","W",7,6,NA,"82-56",1,"up 5.5","Workman","Rienzo","Uehara","3:39","D","37053","+++",""
"787",139,2013,2013-09-02,"boxscore","BOS","","DET","L",0,3,NA,"82-57",1,"up 5.5","Fister","Lackey","Veras","2:59","D","36188","-",""
"788",140,2013,2013-09-03,"boxscore","BOS","","DET","W",2,1,NA,"83-57",1,"up 5.5","Lester","Scherzer","Uehara","2:56","N","32071","+",""
"789",141,2013,2013-09-04,"boxscore","BOS","","DET","W",20,4,NA,"84-57",1,"up 5.5","Dempster","Porcello","","3:33","N","33720","++",""
"790",142,2013,2013-09-05,"boxscore","BOS","@","NYY","W",9,8,10,"85-57",1,"up 6.5","Breslow","Chamberlain","Uehara","4:32","N","40481","+++",""
"791",143,2013,2013-09-06,"boxscore","BOS","@","NYY","W",12,8,NA,"86-57",1,"up 7.5","Workman","Claiborne","","4:00","N","44117","++++",""
"792",144,2013,2013-09-07,"boxscore","BOS","@","NYY","W",13,9,NA,"87-57",1,"up 8.5","Lackey","Huff","","3:32","D","49046","+++++",""
"793",145,2013,2013-09-08,"boxscore","BOS","@","NYY","L-wo",3,4,NA,"87-58",1,"up 7.5","Rivera","Workman","","3:15","D","43078","-",""
"794",146,2013,2013-09-10,"boxscore","BOS","@","TBR","W",2,0,NA,"88-58",1,"up 8.5","Buchholz","Price","Uehara","3:09","N","18605","+",""
"795",147,2013,2013-09-11,"boxscore","BOS","@","TBR","W",7,3,10,"89-58",1,"up 9.5","Uehara","Peralta","","4:05","N","19215","++",""
"796",148,2013,2013-09-12,"boxscore","BOS","@","TBR","L",3,4,NA,"89-59",1,"up 8.5","McGee","De La Rosa","Rodney","3:17","N","20360","-",""
"797",149,2013,2013-09-13,"boxscore","BOS","","NYY","W",8,4,NA,"90-59",1,"up 8.5","Workman","Kuroda","","3:06","N","37542","+",""
"798",150,2013,2013-09-14,"boxscore","BOS","","NYY","W",5,1,NA,"91-59",1,"up 8.5","Lester","Sabathia","","2:43","D","37510","++",""
"799",151,2013,2013-09-15,"boxscore","BOS","","NYY","W",9,2,NA,"92-59",1,"up 9.5","Buchholz","Nova","","3:13","N","37137","+++",""
"800",152,2013,2013-09-17,"boxscore","BOS","","BAL","L",2,3,NA,"92-60",1,"up 9.0","Hunter","Uehara","Johnson","3:08","N","35030","-",""
"801",153,2013,2013-09-18,"boxscore","BOS","","BAL","L",3,5,12,"92-61",1,"up 8.0","McFarland","Morales","Johnson","4:01","N","38540","--",""
"802",154,2013,2013-09-19,"boxscore","BOS","","BAL","W",3,1,NA,"93-61",1,"up 9.0","Lackey","Tillman","","2:18","N","36436","+",""
"803",155,2013,2013-09-20,"boxscore","BOS","","TOR","W",6,3,NA,"94-61",1,"up 9.0","Lester","Rogers","Uehara","3:26","N","37215","++",""
"804",156,2013,2013-09-21,"boxscore","BOS","","TOR","L",2,4,NA,"94-62",1,"up 8.0","Buehrle","Buchholz","Janssen","3:07","N","37569","-",""
"805",157,2013,2013-09-22,"boxscore","BOS","","TOR","W",5,2,NA,"95-62",1,"up 8.0","Doubront","Dickey","Uehara","2:13","D","37020","+",""
"806",158,2013,2013-09-24,"boxscore","BOS","@","COL","L",3,8,NA,"95-63",1,"up 6.5","Chatwood","Lackey","","2:40","N","32315","-",""
"807",159,2013,2013-09-25,"boxscore","BOS","@","COL","W",15,5,NA,"96-63",1,"up 6.5","Peavy","Chacin","","3:30","N","48775","+",""
"808",160,2013,2013-09-27,"boxscore","BOS","@","BAL","W",12,3,NA,"97-63",1,"up 7.0","Buchholz","Feldman","","3:16","N","30774","++",""
"809",161,2013,2013-09-28,"boxscore","BOS","@","BAL","L",5,6,NA,"97-64",1,"up 7.0","Gausman","Tazawa","Johnson","3:21","N","36556","-",""
"810",162,2013,2013-09-29,"boxscore","BOS","@","BAL","L",6,7,NA,"97-65",1,"up 6.0","McFarland","De La Rosa","Johnson","3:23","D","44230","--",""
"811",1,2012,2012-04-03,"boxscore","BOS","","PIT","W",5,3,NA,"Jan-00",1,"Tied","Porcello","Cole","Kimbrel","3:03","D","36594","+",NA
"812",2,2012,2012-04-05,"boxscore","BOS","","PIT","W-wo",3,0,12,"Feb-00",1,"Tied","Kelly","Bastardo","","3:53","N","36137","++",NA
"813",3,2012,2012-04-07,"boxscore","BOS","@","DET","L",5,6,NA,"1-Feb",2,"1","Rodriguez","Hembree","","3:35","D","45013","-",NA
"814",4,2012,2012-04-08,"boxscore","BOS","@","DET","L",1,4,NA,"2-Feb",3,"2","Zimmermann","Rodriguez","Wilson","3:05","D","32622","--",NA
"815",5,2012,2012-04-09,"boxscore","BOS","@","DET","W",7,5,NA,"2-Mar",3,"1","Barnes","Rondon","Kimbrel","3:27","D","33662","+",NA
"816",6,2012,2012-04-10,"boxscore","BOS","@","DET","L",1,2,NA,"3-Mar",3,"1.5","Wilson","Sale","Rodriguez","2:44","D","24672","-",NA
"817",7,2012,2012-04-11,"boxscore","BOS","","BAL","W",8,1,NA,"3-Apr",3,"0.5","Pomeranz","Bundy","","3:15","N","37497","+",NA
"818",8,2012,2012-04-12,"boxscore","BOS","","BAL","L",5,12,NA,"4-Apr",3,"1.5","Givens","Wright","","3:46","N","32211","-",NA
"819",9,2012,2012-04-13,"boxscore","BOS","","PIT","W",4,3,NA,"4-May",2,"1.5","Barnes","Nicasio","Kimbrel","3:15","D","32400","+",NA
"820",10,2012,2012-04-14,"boxscore","BOS","","TBR","L",5,10,NA,"5-May",4,"2.5","Archer","Porcello","","3:37","N","36813","-",NA
"821",11,2012,2012-04-15,"boxscore","BOS","","TBR","W",2,1,NA,"5-Jun",3,"1.5","Sale","Hunter","Kimbrel","2:54","D","36686","+",NA
"822",12,2012,2012-04-16,"boxscore","BOS","","TBR","W",7,5,NA,"5-Jul",3,"1.5","Kelly","Farquhar","Kimbrel","3:46","D","36209","++",NA
"823",13,2012,2012-04-17,"boxscore","BOS","","TBR","W",4,3,NA,"5-Aug",3,"1","Wright","Snell","Kimbrel","3:07","D","37318","+++",NA
"824",14,2012,2012-04-18,"boxscore","BOS","@","TOR","W",8,7,NA,"5-Sep",1,"Tied","Johnson","Stroman","","3:48","N","29281","++++",NA
"825",15,2012,2012-04-19,"boxscore","BOS","@","TOR","L",0,3,NA,"6-Sep",3,"1","Liriano","Porcello","Osuna","2:45","N","30842","-",NA
"826",16,2012,2012-04-20,"boxscore","BOS","@","TOR","W",4,1,10,"6-Oct",3,"1","Kimbrel","Grilli","","3:07","D","44283","+",NA
"827",17,2012,2012-04-21,"boxscore","BOS","@","BAL","L",0,2,NA,"7-Oct",3,"2","Bundy","Pomeranz","Brach","3:20","N","34442","-",NA
"828",18,2012,2012-04-22,"boxscore","BOS","@","BAL","L",2,4,NA,"8-Oct",3,"3","Aquino","Wright","O'Day","2:47","N","35457","--",NA
"829",19,2012,2012-04-23,"boxscore","BOS","@","BAL","W",6,2,NA,"8-Nov",3,"2","Rodriguez","Gausman","Kimbrel","3:34","D","35522","+",NA
"830",20,2012,2012-04-26,"boxscore","BOS","","NYY","L",1,3,NA,"9-Nov",3,"3","Severino","Porcello","Chapman","3:16","N","32072","-",NA
"831",21,2012,2012-04-27,"boxscore","BOS","","NYY","L",0,3,NA,"10-Nov",3,"3.5","Tanaka","Sale","","2:21","N","34054","--",NA
"832",22,2012,2012-04-28,"boxscore","BOS","","CHC","W",5,4,NA,"10-Dec",3,"2.5","Pomeranz","Arrieta","Kimbrel","3:28","N","37054","+",NA
"833",23,2012,2012-04-29,"boxscore","BOS","","CHC","L",4,7,NA,"11-Dec",3,"3.5","Lackey","Wright","Davis","3:00","D","36776","-",NA
"834",24,2012,2012-04-30,"boxscore","BOS","","CHC","W",6,2,NA,"13-11",3,"2.5","Barnes","Uehara","","3:28","N","36916","+",NA
"835",25,2012,2012-05-01,"boxscore","BOS","","BAL","L",2,5,NA,"13-12",3,"3.5","Bundy","Porcello","Brach","3:10","N","33489","-",NA
"836",26,2012,2012-05-02,"boxscore","BOS","","BAL","W",5,2,NA,"14-12",3,"2.5","Sale","Asher","Kimbrel","2:33","N","32932","+",NA
"837",27,2012,2012-05-03,"boxscore","BOS","","BAL","W",4,2,NA,"15-12",3,"2.5","Pomeranz","Gausman","Kimbrel","3:24","N","33162","++",NA
"838",28,2012,2012-05-04,"boxscore","BOS","","BAL","L",3,8,NA,"15-13",3,"3","Wilson","Kendrick","","3:21","N","36563","-",NA
"839",29,2012,2012-05-05,"boxscore","BOS","@","MIN","L-wo",3,4,NA,"15-14",3,"4","Kintzler","Barnes","","3:24","N","28707","--",NA
"840",30,2012,2012-05-06,"boxscore","BOS","@","MIN","W",11,1,NA,"16-14",3,"4","Porcello","Tepesch","","3:03","D","30859","+",NA
"841",31,2012,2012-05-07,"boxscore","BOS","@","MIN","W",17,6,NA,"17-14",3,"4","Sale","Santana","","3:46","D","31763","++",NA
"842",32,2012,2012-05-09,"boxscore","BOS","@","MIL","L",7,11,NA,"17-15",3,"5","Torres","Pomeranz","","3:38","N","22524","-",NA
"843",33,2012,2012-05-10,"boxscore","BOS","@","MIL","L",4,7,NA,"17-16",3,"5","Scahill","Kendrick","","3:37","N","23095","--",NA
"844",34,2012,2012-05-11,"boxscore","BOS","@","MIL","W",4,1,NA,"18-16",3,"4.5","Kimbrel","Feliz","","3:29","D","26499","+",NA
"845",35,2012,2012-05-12,"boxscore","BOS","","TBR","L",4,5,NA,"18-17",3,"4.5","Cobb","Porcello","Colome","3:24","N","36496","-",NA
"846",36,2012,2012-05-13,"boxscore","BOS","","TBR","W",6,3,NA,"19-17",3,"3.5","Sale","Snell","Kimbrel","2:54","D","35447","+",NA
"847",37,2012,2012-05-14,"boxscore","BOS","","TBR","L",2,11,NA,"19-18",3,"4","Andriese","Pomeranz","","4:32","D","35080","-",NA
"848",38,2012,2012-05-16,"boxscore","BOS","@","STL","W",6,3,NA,"20-18",3,"4","Rodriguez","Lynn","Kimbrel","3:21","N","41514","+",NA
"849",39,2012,2012-05-17,"boxscore","BOS","@","STL","W",5,4,13,"21-18",3,"4","Abad","Tuivailala","Taylor","4:20","N","44365","++",NA
"850",40,2012,2012-05-18,"boxscore","BOS","@","OAK","L",3,8,NA,"21-19",3,"4","Gray","Velazquez","","3:09","N","12016","-",NA
"851",41,2012,2012-05-19,"boxscore","BOS","@","OAK","L-wo",2,3,10,"21-20",3,"4","Dull","Hembree","","3:12","N","24728","--",NA
"852",42,2012,2012-05-20,"boxscore","BOS","@","OAK","L",3,8,NA,"21-21",4,"4.5","Manaea","Taylor","","3:22","D","20235","---",NA
"853",43,2012,2012-05-21,"boxscore","BOS","@","OAK","W",12,3,NA,"22-21",3,"4","Rodriguez","Triggs","","3:11","D","20691","+",NA
"854",44,2012,2012-05-23,"boxscore","BOS","","TEX","W",11,6,NA,"23-21",3,"3.5","Porcello","Cashner","","3:23","N","34769","++",NA
"855",45,2012,2012-05-24,"boxscore","BOS","","TEX","W",9,4,NA,"24-21",3,"3.5","Sale","Dyson","","2:59","N","36089","+++",NA
"856",46,2012,2012-05-25,"boxscore","BOS","","TEX","W",6,2,NA,"25-21",3,"3","Pomeranz","Martinez","","3:23","N","33484","++++",NA
"857",47,2012,2012-05-26,"boxscore","BOS","","SEA","W",3,0,NA,"26-21",2,"2","Rodriguez","Gallardo","Kimbrel","3:11","N","35080","+++++",NA
"858",48,2012,2012-05-27,"boxscore","BOS","","SEA","W",6,0,NA,"27-21",2,"2","Johnson","Whalen","","2:23","D","36985","++++++",NA
"859",49,2012,2012-05-28,"boxscore","BOS","","SEA","L",0,5,NA,"27-22",2,"3","Bergman","Porcello","","3:14","D","37174","-",NA
"860",50,2012,2012-05-29,"boxscore","BOS","@","CHW","L",4,5,NA,"27-23",2,"3","Minaya","Barnes","Robertson","3:16","D","27148","--",NA
"861",51,2012,2012-05-30,"boxscore","BOS","@","CHW","W",13,7,NA,"28-23",2,"3","Sale","Quintana","Kimbrel","3:53","N","21852","+",NA
"862",52,2012,2012-05-31,"boxscore","BOS","@","CHW","W",4,1,NA,"29-23",2,"2","Pomeranz","Swarzak","Kimbrel","2:59","N","19075","++",NA
"863",53,2012,2012-06-01,"boxscore","BOS","@","BAL","L",5,7,NA,"29-24",2,"3","Miley","Rodriguez","","2:38","N","20150","-",NA
"864",54,2012,2012-06-02,"boxscore","BOS","@","BAL","L",2,3,NA,"29-25",3,"3","Asher","Porcello","Brach","2:59","N","33193","--",NA
"865",55,2012,2012-06-03,"boxscore","BOS","@","BAL","W",5,2,NA,"30-25",2,"3","Price","Bundy","Kimbrel","3:22","N","35470","+",NA
"866",56,2012,2012-06-04,"boxscore","BOS","@","BAL","W",7,3,NA,"31-25",2,"2","Sale","Tillman","","3:06","D","31819","++",NA
"867",57,2012,2012-06-06,"boxscore","BOS","@","NYY","W",5,4,NA,"32-25",2,"1","Pomeranz","Tanaka","Kimbrel","3:35","N","41516","+++",NA
"868",58,2012,2012-06-07,"boxscore","BOS","@","NYY","L",0,8,NA,"32-26",2,"2","Sabathia","Porcello","","2:42","N","44380","-",NA
"869",59,2012,2012-06-08,"boxscore","BOS","@","NYY","L",1,9,NA,"32-27",2,"3","Pineda","Price","","3:27","N","46194","--",NA
"870",60,2012,2012-06-09,"boxscore","BOS","","DET","W",5,3,NA,"33-27",2,"3","Barnes","Wilson","Kimbrel","3:36","N","36853","+",NA
"871",61,2012,2012-06-10,"boxscore","BOS","","DET","W",11,3,NA,"34-27",2,"3","Sale","Saupold","","3:39","N","37162","++",NA
"872",62,2012,2012-06-11,"boxscore","BOS","","DET","L",3,8,NA,"34-28",2,"4","Norris","Pomeranz","","4:06","N","35457","-",NA
"873",63,2012,2012-06-12,"boxscore","BOS","","PHI","W-wo",6,5,11,"35-28",2,"4","Barnes","Fien","","4:16","N","36757","+",NA
"874",64,2012,2012-06-13,"boxscore","BOS","","PHI","W-wo",4,3,12,"36-28",2,"3","Abad","Garcia","","4:24","N","37141","++",NA
"875",65,2012,2012-06-14,"boxscore","BOS","@","PHI","W",7,3,NA,"37-28",2,"2","Velazquez","Hellickson","","3:26","N","28263","+++",NA
"876",66,2012,2012-06-15,"boxscore","BOS","@","PHI","L",0,1,NA,"37-29",2,"2","Neshek","Sale","Neris","2:25","N","30729","-",NA
"877",67,2012,2012-06-16,"boxscore","BOS","@","HOU","W",2,1,NA,"38-29",2,"1","Kelly","Harris","Kimbrel","3:11","N","36189","+",NA
"878",68,2012,2012-06-17,"boxscore","BOS","@","HOU","L",1,7,NA,"38-30",2,"1","Paulino","Porcello","","2:34","N","41017","-",NA
"879",69,2012,2012-06-18,"boxscore","BOS","@","HOU","W",6,5,NA,"39-30",1,"Tied","Price","Musgrove","Kimbrel","4:08","N","38389","+",NA
