"","X","YEAR","DATE","OPPONENT","RESULT","W.L","ATTENDANCE","STATION","NAME","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"97",97,2014,"2014-12-26","vsBrooklyn","L109-107","10-17","18624","USW00014739","BOSTON, MA US",0,0,NA,44,50,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",98,2014,"2014-12-31","vsSacramento","W106-84","11-18","18624","USW00014739","BOSTON, MA US",0,0,NA,24,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",99,2015,"2015-01-02","vsDallas","L119-101","11-19","18624","USW00014739","BOSTON, MA US",0,0,NA,34,41,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",100,2015,"2015-01-05","vsCharlotte","L104-95","11-21","16720","USW00014739","BOSTON, MA US",0,0,NA,40,50,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",101,2015,"2015-01-12","vsNew Orleans","W108-100","13-23","16906","USW00014739","BOSTON, MA US",0.2,0,NA,35,38,33,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",102,2015,"2015-01-14","vsAtlanta","L105-91","13-24","16067","USW00014739","BOSTON, MA US",0,0,NA,18,25,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",103,2015,"2015-01-16","vsChicago","L119-103","13-25","18624","USW00014739","BOSTON, MA US",0,0,NA,28,38,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",104,2015,"2015-01-30","vsHouston","L93-87","16-29","17675","USW00014739","BOSTON, MA US",0.06,0.7,NA,31,34,19,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"105",105,2015,"2015-02-01","vsMiami","L83-75","16-30","17366","USW00014739","BOSTON, MA US",0,0,NA,19,30,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",106,2015,"2015-02-04","vsDenver","W104-100","18-30","15126","USW00014739","BOSTON, MA US",0.01,0,NA,23,38,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
